zzid,name,city,housenumber,postcode,street,phone_number,website,opening_hours,frozen_yogurt,Location_id,amenity
6049450811,Pingu,Trento,124,38123,Via di Madonna Bianca,,,,,I1,icecreamshop
430017181,Bistro' alle Torri,Trento,76,38123,Via Enrico Conci,+39 0461 922474,http://www.terragnoloeis.it,,,I2,icecreamshop
2022158684,Gelateria,Trento,62,38122,Via Giuseppe Giusti,,,,,I3,icecreamshop
563415888,Al Ponte,Trento,178,38122,Corso III Novembre,,,,,I4,icecreamshop
2410418912,DolceMente,Trento,28,38123,Viale della Costituzione,+39 0461 036036,http://www.dolcementemarzari.it/,,,I5,icecreamshop
430669787,La Gelateria,Trento,50,38122,Via Rodolfo Belenzani,,,,,I6,icecreamshop
865298450,Gelateria GROM,Trento,27,38122,Piazza del Duomo,,,May-Sep: Su-Th 11:00-24:00; May-Sep: Fr-Sa 11:00-01:00; Oct-Apr: Su-Th 11:00-22:00; Oct-Apr: Fr-Sa 11:00-23:00,,I7,icecreamshop
1005689714,Kikkys,Trento,7,38122,Via senatore Carlo Esterle,,,,,I8,icecreamshop
1687770939,La Romana,Trento,5,38122,Via Antonio Rosmini,,https://www.gelateriaromana.com/,,,I9,icecreamshop
853802424,La Delizia,Trento,20,38122,Via Giuseppe Mazzini,,,,,I10,icecreamshop
865298469,Gelatomania,Trento,9,38122,Via Giuseppe Garibaldi,+39 0461 220014,,,,I11,icecreamshop
867377271,Ci gusta!,Trento,27,38122,Via Giuseppe Garibaldi,+39 0461 233160,http://www.cigusta.com/,"Mo-Fr 08:30-19:30; Sa,Su 10:30-19:30",,I12,icecreamshop
877621107,Peterle,Trento,19,38122,Via San Vigilio,,,"Mo-Sa 14:00-19:30,21:00-23:00",yes,I13,icecreamshop
1493571259,Robin,Trento,17,38122,Via dei Mille,,,,,I14,icecreamshop
975288320,Yogurt,,,,,,,,,I15,icecreamshop
1214589540,Pingu,Trento,35,38122,Via Paolo Oss Mazzurana,,,Tu-Su 09:00-19:00; Mo 14:00-19:00,,I16,icecreamshop
853803379,Fior di gusto,,,,,,,,,I17,icecreamshop
5585598,Gelateria Peterle,Trento,1,38122,Piazzetta Padre Diego Lainez,,,,,I18,icecreamshop
1749737657,Igloo,,,,,,,Mo-Sa 12:00-20:30; Su 11:00-20:30,,I19,icecreamshop
4160534209,Mason,,,,,,,,,I20,icecreamshop
2304109638,Peterle,Gardolo,101,38121,Via 4 Novembre (1918),,,,,I21,icecreamshop
2304109638,Peterle,Gardolo,101,38121,Via 4 Novembre (1918),,,,,I22,icecreamshop
3105232729,Pingu,,,,,,,,,I23,icecreamshop
1408624387,Pingu,Mezzocorona,4,38016,Piazza della Chiesa,+39 0461 987654,https://www.facebook.com/Caffetteria-Gelateria-Pingu-534241856761082/,Mo 16:00-22:00; Tu-Su 15:00-22:00,,I24,icecreamshop
823542138,Gelateria Dolomeis,Povo,3,38123,Piazza Giannantonio Manci,,,,,I25,icecreamshop
5059810665,gelateria,,,,,,,,,I26,icecreamshop
5059810665,gelateria,,,,,,,,,I27,icecreamshop
1331577392,Alla Vecchia Fontana,,,,,,,,,I28,icecreamshop
3090949619,"Gelateria ""Al Ponte""",,,,,,,,,I29,icecreamshop
4365350290,Gelateria Al Pozzo,,,,,,,,,I30,icecreamshop
5114840532,,,,,,,,,,I31,icecreamshop
4415047275,Flora Downtown,,,,,,,Mo-Su 08:00-23:00,,I32,icecreamshop
6551596192,DolceStella,,86,,Viale Dante Alighieri,,,Mo-Su 08:00-23:00,,I33,icecreamshop
9141413524,Gelateria Eta Beta,,14,38066,Via Disciplini,,,,,I34,icecreamshop
700335915,Brolio Ice Cream,,,,,,,,,I35,icecreamshop
486141846,Gelateria Adamello,Riva del Garda,9,38066,Viale San Francesco,,,,,I36,icecreamshop
2496766112,Gelateria Isola del Gelato,,,,,,,,,I37,icecreamshop
687634184,Gelateria Capriccio,,,,,,,Mo-Su 09:00-20:00,,I38,icecreamshop
2484736021,Gelateria Goccia di Latte,Rovereto,56,38068,Via Giosuè Carducci,,,,,I39,icecreamshop
685236439,Gelateria La Torretta,,,,,,,,,I40,icecreamshop
806752621,,,,,,,,,,I41,icecreamshop
2487884664,Yogurteria,,1,,Via Girolamo Tartarotti,,,,,I42,icecreamshop
545487908,Storie di Latte,Rovereto,23,38068,Via Mercerie,,,,,I43,icecreamshop
685236439,Gelateria La Torretta,,,,,,,,,I44,icecreamshop
3836071883,Capriccio di Gola,,,,,,,,,I45,icecreamshop
888908468,Gelatomania,,,,,,,,,I46,icecreamshop
3752959293,Settimogelo,Rovereto,35,38068,Via Brione,,,Mo-Fr 14:00-21:00; Sa-Su 11:30-21:30,,I47,icecreamshop
928786698,Gelato Mio,Arco,2,38062,Via Giovanni Segantini,,https://www.facebook.com/gelatomioarco,Mo-Su 10:00-22:30,,I48,icecreamshop
1110602907,Il Gelatiere,,4,38062,Piazza 3 Novembre,,,,,I49,icecreamshop
1240999982,Gelateria Artigianale Tarifa,,,,,,,,,I50,icecreamshop
1760241067,Indimenicabile,,,,,,,,,I51,icecreamshop
638141773,Garda Gelati,,,,,,,,,I52,icecreamshop
6251379374,Nonna Giulia,Besenello,35,38060,Via Trento,,,,,I53,icecreamshop
2972706128,Bottega del Gelato,Borgo Valsugana,7,38051,Via Alessandro Spagolla,,,,,I54,icecreamshop
5865253501,Fiocco di neve,Caldonazzo,5,38052,Via della Polla,,,,,I55,icecreamshop
6739952574,tobià,,,,,,,,,I56,icecreamshop
9144688119,Bar Gelateria Regina,,,,,,,,,I57,icecreamshop
1263209697,Tre Valli,Cavalese,9,38033,,,,,,I58,icecreamshop
1256563370,Gelateria Tre Valli,Cavalese,56,38033,Via Fratelli Bronzetti,+39 0462 231625,,,,I59,icecreamshop
945470823,Gelateria Veneta,,,,,,,,,I60,icecreamshop
2526451125,Gelateria Basi'n,,,,,,,,,I61,icecreamshop
1381060989,Baita del Gelato,,,,,,,,,I62,icecreamshop
294466911,,,,,,,,,,I63,icecreamshop
4394168359,Gala Ice Cream Gelateria,Malé,3,38027,Piazza Regina Elena,,,Mo-Su 10:00-22:00,,I64,icecreamshop
1813472290,La Baita del Gelato,,,,,,,,,I65,icecreamshop
1331577392,Alla Vecchia Fontana,,,,,,,,,I66,icecreamshop
1408624387,Pingu,Mezzocorona,4,38016,Piazza della Chiesa,+39 0461 987654,https://www.facebook.com/Caffetteria-Gelateria-Pingu-534241856761082/,Mo 16:00-22:00; Tu-Su 15:00-22:00,,I67,icecreamshop
1614921063,,Mezzolombardo,2,38017,Via Arturo De Varda,,,,,I68,icecreamshop
4557760197,La Stua,Mezzolombardo,31,38017,Via Guido Fiorini,+39 0461 1595703,https://www.facebook.com/La-Stua-829922077142213/,,,I69,icecreamshop
72003251,Gelateria Girasole,Mezzolombardo,74,38017,Via Quattro Novembre,+39 0461 601390,,,,I70,icecreamshop
3785859356,,,,,,,,,,I71,icecreamshop
374400990,,,,,,,,,,I72,icecreamshop
1524976160,Bertolini,,,,,,,,,I73,icecreamshop
8875723182,Dolom'ICE,,,,,,,,,I74,icecreamshop
5400760153,Mamì,,,,,,,,,I75,icecreamshop
702858942,Bucaneve,,,,,,,,,I76,icecreamshop
5375513960,Gelateria Al Parco,,,,,,,,,I77,icecreamshop
6644330129,Bar Gelateria Derby,Telve,5d,38050,Località Santa Giustina,,,,,I78,icecreamshop
